,Ticker,Company,Sector,Industry,Country
45,ACBI,"Atlantic Capital Bancshares, Inc.",Financial,Banks - Regional,USA
46,ACC,"American Campus Communities, Inc.",Real Estate,REIT - Residential,USA
47,ACCD,"Accolade, Inc.",Healthcare,Health Information Services,USA
48,ACCO,ACCO Brands Corporation,Industrials,Business Equipment & Supplies,USA
49,ACEL,"Accel Entertainment, Inc.",Consumer Cyclical,Gambling,USA
50,ACER,Acer Therapeutics Inc.,Healthcare,Biotechnology,USA
51,ACET,"Adicet Bio, Inc.",Healthcare,Biotechnology,USA
52,ACEV,ACE Convergence Acquisition Corp.,Financial,Shell Companies,USA
53,ACEVU,ACE Convergence Acquisition Corp.,Financial,Shell Companies,USA
54,ACGL,Arch Capital Group Ltd.,Financial,Insurance - Diversified,Bermuda
55,ACH,Aluminum Corporation of China Limited,Basic Materials,Aluminum,China
56,ACHC,"Acadia Healthcare Company, Inc.",Healthcare,Medical Care Facilities,USA
57,ACHL,Achilles Therapeutics plc,Healthcare,Biotechnology,United Kingdom
58,ACHV,"Achieve Life Sciences, Inc.",Healthcare,Biotechnology,Canada
59,ACI,"Albertsons Companies, Inc.",Consumer Defensive,Grocery Stores,USA
60,ACIC,Atlas Crest Investment Corp.,Financial,Shell Companies,USA
61,ACII,Atlas Crest Investment Corp. II,Financial,Shell Companies,USA
62,ACIU,AC Immune SA,Healthcare,Biotechnology,Switzerland
63,ACIW,"ACI Worldwide, Inc.",Technology,Software - Infrastructure,USA
64,ACKIT,Ackrell SPAC Partners I Co.,Financial,Shell Companies,USA
65,ACKIU,Ackrell SPAC Partners I Co.,Financial,Shell Companies,USA
66,ACLS,"Axcelis Technologies, Inc.",Technology,Semiconductor Equipment & Materials,USA
67,ACM,AECOM,Industrials,Engineering & Construction,USA
68,ACMR,"ACM Research, Inc.",Technology,Semiconductor Equipment & Materials,USA
69,ACN,Accenture plc,Technology,Information Technology Services,Ireland
70,ACNB,ACNB Corporation,Financial,Banks - Regional,USA
71,ACND,Ascendant Digital Acquisition Corp.,Financial,Shell Companies,USA
72,ACOR,"Acorda Therapeutics, Inc.",Healthcare,Biotechnology,USA
73,ACP,Aberdeen Income Credit Strategies Fund,Financial,Closed-End Fund - Debt,USA
74,ACQR,Independence Holdings Corp.,Financial,Shell Companies,USA
75,ACQRU,Independence Holdings Corp.,Financial,Shell Companies,USA
76,ACR,ACRES Commercial Realty Corp.,Real Estate,REIT - Mortgage,USA
77,ACRE,Ares Commercial Real Estate Corporation,Real Estate,REIT - Mortgage,USA
78,ACRS,"Aclaris Therapeutics, Inc.",Healthcare,Biotechnology,USA
79,ACRX,"AcelRx Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA
80,ACST,Acasti Pharma Inc.,Healthcare,Biotechnology,Canada
81,ACTC,ArcLight Clean Transition Corp.,Financial,Shell Companies,USA
82,ACTCU,ArcLight Clean Transition Corp.,Financial,Shell Companies,USA
83,ACTDU,ArcLight Clean Transition Corp. II,Financial,Shell Companies,USA
84,ACTG,Acacia Research Corporation,Industrials,Specialty Business Services,USA
85,ACU,Acme United Corporation,Consumer Defensive,Household & Personal Products,USA
86,ACV,AllianzGI Diversified Income & Convertible Fund,Financial,Asset Management,USA
87,ACVA,ACV Auctions Inc.,Technology,Software - Application,USA
88,ACY,AeroCentury Corp.,Industrials,Rental & Leasing Services,USA
89,ADAG,Adagene Inc.,Healthcare,Biotechnology,China
90,ADAP,Adaptimmune Therapeutics plc,Healthcare,Biotechnology,United Kingdom
91,ADBE,Adobe Inc.,Technology,Software - Infrastructure,USA
92,ADC,Agree Realty Corporation,Real Estate,REIT - Retail,USA
93,ADCT,ADC Therapeutics SA,Healthcare,Biotechnology,Switzerland
94,ADER,26 Capital Acquisition Corp.,Financial,Shell Companies,USA
95,ADERU,26 Capital Acquisition Corp.,Financial,Shell Companies,USA
96,ADES,"Advanced Emissions Solutions, Inc.",Industrials,Pollution & Treatment Controls,USA
97,ADEX,Adit EdTech Acquisition Corp.,Financial,Shell Companies,USA
98,ADI,"Analog Devices, Inc.",Technology,Semiconductors,USA
99,ADIL,"Adial Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA
100,ADM,Archer-Daniels-Midland Company,Consumer Defensive,Farm Products,USA
101,ADMA,"ADMA Biologics, Inc.",Healthcare,Biotechnology,USA
102,ADMP,Adamis Pharmaceuticals Corporation,Healthcare,Drug Manufacturers - Specialty & Generic,USA
103,ADMS,"Adamas Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA
104,ADN,"Advent Technologies Holdings, Inc.",Utilities,Utilities - Renewable,USA
105,ADNT,Adient plc,Consumer Cyclical,Auto Parts,Ireland
106,ADOC,Edoc Acquisition Corp.,Financial,Shell Companies,USA
107,ADP,"Automatic Data Processing, Inc.",Industrials,Staffing & Employment Services,USA
108,ADPT,Adaptive Biotechnologies Corporation,Healthcare,Biotechnology,USA
109,ADS,Alliance Data Systems Corporation,Financial,Credit Services,USA
110,ADSK,"Autodesk, Inc.",Technology,Software - Application,USA
111,ADT,ADT Inc.,Industrials,Security & Protection Services,USA
112,ADTN,"ADTRAN, Inc.",Technology,Communication Equipment,USA
113,ADTX,"ADiTx Therapeutics, Inc.",Healthcare,Biotechnology,USA
114,ADUS,Addus HomeCare Corporation,Healthcare,Medical Care Facilities,USA
115,ADV,Advantage Solutions Inc.,Communication Services,Advertising Agencies,USA
116,ADVM,"Adverum Biotechnologies, Inc.",Healthcare,Biotechnology,USA
117,ADX,"Adams Diversified Equity Fund, Inc.",Financial,Closed-End Fund - Equity,USA
118,ADXN,Addex Therapeutics Ltd,Healthcare,Biotechnology,Switzerland
119,ADXS,"Advaxis, Inc.",Healthcare,Biotechnology,USA
120,AE,"Adams Resources & Energy, Inc.",Energy,Oil & Gas Integrated,USA
121,AEAC,Authentic Equity Acquisition Corp.,Financial,Shell Companies,USA
122,AEACU,Authentic Equity Acquisition Corp.,Financial,Shell Companies,USA
123,AEE,Ameren Corporation,Utilities,Utilities - Regulated Electric,USA
124,AEF,"Aberdeen Emerging Markets Equity Income Fund, Inc.",Financial,Asset Management,United Kingdom
125,AEG,Aegon N.V.,Financial,Insurance - Diversified,Netherlands
126,AEHL,Antelope Enterprise Holdings Limited,Industrials,Building Products & Equipment,China
127,AEHR,Aehr Test Systems,Technology,Semiconductor Equipment & Materials,USA
128,AEI,Alset EHome International Inc.,Real Estate,Real Estate - Development,USA
129,AEIS,"Advanced Energy Industries, Inc.",Industrials,Electrical Equipment & Parts,USA
130,AEL,American Equity Investment Life Holding Company,Financial,Insurance - Life,USA
131,AEM,Agnico Eagle Mines Limited,Basic Materials,Gold,Canada
132,AEMD,"Aethlon Medical, Inc.",Healthcare,Medical Devices,USA
133,AENZ,Aenza S.A.A.,Industrials,Engineering & Construction,Peru
134,AEO,"American Eagle Outfitters, Inc.",Consumer Cyclical,Apparel Retail,USA
135,AEP,"American Electric Power Company, Inc.",Utilities,Utilities - Regulated Electric,USA
136,AER,AerCap Holdings N.V.,Industrials,Airports & Air Services,Ireland
137,AERI,"Aerie Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA
138,AES,The AES Corporation,Utilities,Utilities - Diversified,USA
139,AESC,The AES Corporation,Utilities,Utilities - Diversified,USA
140,AESE,Allied Esports Entertainment Inc.,Communication Services,Entertainment,USA
141,AEVA,"Aeva Technologies, Inc.",Consumer Cyclical,Auto Parts,USA
142,AEY,"ADDvantage Technologies Group, Inc.",Technology,Electronics & Computer Distribution,USA
143,AEYE,"AudioEye, Inc.",Technology,Software - Application,USA
144,AEZS,Aeterna Zentaris Inc.,Healthcare,Biotechnology,USA
145,AFAQU,AF Acquisition Corp.,Financial,Shell Companies,USA
146,AFB,AllianceBernstein National Municipal Income Fund,Financial,Closed-End Fund - Debt,USA
147,AFBI,"Affinity Bancshares, Inc.",Financial,Banks - Regional,USA
148,AFCG,"AFC Gamma, Inc.",Real Estate,REIT - Specialty,USA
149,AFG,"American Financial Group, Inc.",Financial,Insurance - Property & Casualty,USA
150,AFI,"Armstrong Flooring, Inc.",Industrials,Building Products & Equipment,USA
151,AFIB,"Acutus Medical, Inc.",Healthcare,Medical Devices,USA
152,AFIN,"American Finance Trust, Inc.",Real Estate,REIT - Diversified,USA
153,AFINO,"American Finance Trust, Inc.",Real Estate,REIT - Diversified,USA
154,AFL,Aflac Incorporated,Financial,Insurance - Life,USA
155,AFMD,Affimed N.V.,Healthcare,Biotechnology,Germany
156,AFRM,"Affirm Holdings, Inc.",Technology,Information Technology Services,USA
157,AFT,Apollo Senior Floating Rate Fund Inc.,Financial,Asset Management,USA
158,AFYA,Afya Limited,Consumer Defensive,Education & Training Services,Brazil
159,AG,First Majestic Silver Corp.,Basic Materials,Silver,Canada
160,AGC,Altimeter Growth Corp.,Financial,Shell Companies,USA
161,AGCB,Altimeter Growth Corp. 2,Financial,Shell Companies,USA
162,AGCO,AGCO Corporation,Industrials,Farm & Heavy Construction Machinery,USA
163,AGCUU,Altimeter Growth Corp.,Financial,Shell Companies,USA
164,AGD,Aberdeen Global Dynamic Dividend Fund,Financial,Closed-End Fund - Foreign,USA
165,AGE,"AgeX Therapeutics, Inc.",Healthcare,Biotechnology,USA
166,AGEN,Agenus Inc.,Healthcare,Biotechnology,USA
167,AGFS,"AgroFresh Solutions, Inc.",Consumer Defensive,Farm Products,USA
168,AGFY,Agrify Corporation,Industrials,Specialty Business Services,USA
169,AGGR,Agile Growth Corp.,Financial,Shell Companies,USA
170,AGGRU,Agile Growth Corp.,Financial,Shell Companies,USA
171,AGI,Alamos Gold Inc.,Basic Materials,Gold,Canada
172,AGIO,"Agios Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA
173,AGL,"agilon health, inc.",Healthcare,Medical Care Facilities,USA
174,AGLE,"Aeglea BioTherapeutics, Inc.",Healthcare,Biotechnology,USA
175,AGM,Federal Agricultural Mortgage Corporation,Financial,Credit Services,USA
176,AGMH,AGM Group Holdings Inc.,Technology,Software - Application,Hong Kong
177,AGNC,AGNC Investment Corp.,Real Estate,REIT - Mortgage,USA
178,AGO,Assured Guaranty Ltd.,Financial,Insurance - Specialty,Bermuda
179,AGR,"Avangrid, Inc.",Utilities,Utilities - Regulated Electric,USA
180,AGRO,Adecoagro S.A.,Consumer Defensive,Farm Products,Luxembourg
181,AGRX,"Agile Therapeutics, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA
182,AGS,"PlayAGS, Inc.",Consumer Cyclical,Gambling,USA
183,AGTC,Applied Genetic Technologies Corporation,Healthcare,Biotechnology,USA
184,AGTI,"Agiliti, Inc.",Healthcare,Health Information Services,USA
185,AGX,"Argan, Inc.",Industrials,Engineering & Construction,USA
186,AGYS,"Agilysys, Inc.",Technology,Software - Application,USA
187,AHAC,Alpha Healthcare Acquisition Corp.,Financial,Shell Companies,USA
188,AHACU,Alpha Healthcare Acquisition Corp.,Financial,Shell Companies,USA
189,AHC,A.H. Belo Corporation,Communication Services,Publishing,USA
190,AHCO,AdaptHealth Corp.,Healthcare,Medical Devices,USA
191,AHH,"Armada Hoffler Properties, Inc.",Real Estate,REIT - Diversified,USA
192,AHPI,"Allied Healthcare Products, Inc.",Healthcare,Medical Devices,USA
193,AHT,"Ashford Hospitality Trust, Inc.",Real Estate,REIT - Hotel & Motel,USA
194,AI,"C3.ai, Inc.",Technology,Information Technology Services,USA
195,AIF,Apollo Tactical Income Fund Inc.,Financial,Asset Management,USA
196,AIG,"American International Group, Inc.",Financial,Insurance - Diversified,USA
197,AIH,Aesthetic Medical International Holdings Group Limited,Healthcare,Medical Care Facilities,China
198,AIHS,Senmiao Technology Limited,Financial,Credit Services,China
199,AIKI,AIkido Pharma Inc.,Healthcare,Biotechnology,USA
200,AIM,AIM ImmunoTech Inc.,Healthcare,Biotechnology,USA
201,AIMC,Altra Industrial Motion Corp.,Industrials,Specialty Industrial Machinery,USA
202,AIN,Albany International Corp.,Consumer Cyclical,Textile Manufacturing,USA
203,AINC,Ashford Inc.,Financial,Asset Management,USA
204,AINV,Apollo Investment Corporation,Financial,Asset Management,USA
205,AIO,Virtus AllianzGI Artificial Intelligence & Technology Opportunities Fund,Financial,Closed-End Fund - Equity,USA
206,AIR,AAR Corp.,Industrials,Aerospace & Defense,USA
207,AIRC,Apartment Income REIT Corp.,Real Estate,REIT - Residential,USA
208,AIRG,"Airgain, Inc.",Technology,Communication Equipment,USA
209,AIRI,Air Industries Group,Industrials,Aerospace & Defense,USA
210,AIRT,"Air T, Inc.",Industrials,Integrated Freight & Logistics,USA
211,AIT,"Applied Industrial Technologies, Inc.",Industrials,Industrial Distribution,USA
212,AIV,Apartment Investment and Management Company,Real Estate,REIT - Residential,USA
213,AIZ,"Assurant, Inc.",Financial,Insurance - Specialty,USA
214,AJAX,Ajax I,Financial,Shell Companies,USA
215,AJG,Arthur J. Gallagher & Co.,Financial,Insurance Brokers,USA
216,AJRD,"Aerojet Rocketdyne Holdings, Inc.",Industrials,Aerospace & Defense,USA
217,AJX,Great Ajax Corp.,Real Estate,REIT - Mortgage,USA
218,AKAM,"Akamai Technologies, Inc.",Technology,Software - Infrastructure,USA
219,AKBA,"Akebia Therapeutics, Inc.",Healthcare,Biotechnology,USA
220,AKIC,Sports Ventures Acquisition Corp.,Financial,Shell Companies,USA
221,AKICU,Sports Ventures Acquisition Corp.,Financial,Shell Companies,USA
222,AKO-A,Embotelladora Andina S.A.,Consumer Defensive,Beverages - Non-Alcoholic,Chile
223,AKO-B,Embotelladora Andina S.A.,Consumer Defensive,Beverages - Non-Alcoholic,Chile
224,AKR,Acadia Realty Trust,Real Estate,REIT - Retail,USA
225,AKRO,"Akero Therapeutics, Inc.",Healthcare,Biotechnology,USA
226,AKTS,"Akoustis Technologies, Inc.",Technology,Communication Equipment,USA
227,AKTX,"Akari Therapeutics, Plc",Healthcare,Biotechnology,United Kingdom
228,AKUS,"Akouos, Inc.",Healthcare,Biotechnology,USA
229,AKYA,"Akoya Biosciences, Inc.",Healthcare,Medical Instruments & Supplies,USA
230,AL,Air Lease Corporation,Industrials,Rental & Leasing Services,USA
231,ALAC,Alberton Acquisition Corporation,Financial,Shell Companies,Hong Kong
232,ALB,Albemarle Corporation,Basic Materials,Specialty Chemicals,USA
233,ALBO,"Albireo Pharma, Inc.",Healthcare,Biotechnology,USA
234,ALC,Alcon Inc.,Healthcare,Medical Instruments & Supplies,Switzerland
235,ALCO,"Alico, Inc.",Consumer Defensive,Farm Products,USA
236,ALDX,"Aldeyra Therapeutics, Inc.",Healthcare,Biotechnology,USA
237,ALE,"ALLETE, Inc.",Utilities,Utilities - Diversified,USA
238,ALEC,"Alector, Inc.",Healthcare,Biotechnology,USA
239,ALEX,"Alexander & Baldwin, Inc.",Real Estate,REIT - Diversified,USA
240,ALF,"Alfi, Inc.",Technology,Software - Infrastructure,USA
241,ALG,Alamo Group Inc.,Industrials,Farm & Heavy Construction Machinery,USA
242,ALGM,"Allegro MicroSystems, Inc.",Technology,Semiconductors,USA
243,ALGN,"Align Technology, Inc.",Healthcare,Medical Devices,USA
244,ALGS,"Aligos Therapeutics, Inc.",Healthcare,Biotechnology,USA
245,ALGT,Allegiant Travel Company,Industrials,Airlines,USA
246,ALHC,"Alignment Healthcare, Inc.",Healthcare,Healthcare Plans,USA
247,ALIM,"Alimera Sciences, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA
248,ALJJ,"ALJ Regional Holdings, Inc.",Industrials,Specialty Business Services,USA
249,ALK,"Alaska Air Group, Inc.",Industrials,Airlines,USA
250,ALKS,Alkermes plc,Healthcare,Biotechnology,Ireland
251,ALKT,"Alkami Technology, Inc.",Technology,Software - Application,USA
252,ALL,The Allstate Corporation,Financial,Insurance - Property & Casualty,USA
253,ALLE,Allegion plc,Industrials,Security & Protection Services,Ireland
254,ALLK,Allakos Inc.,Healthcare,Biotechnology,USA
255,ALLO,"Allogene Therapeutics, Inc.",Healthcare,Biotechnology,USA
256,ALLT,Allot Ltd.,Technology,Communication Equipment,Israel
257,ALLY,Ally Financial Inc.,Financial,Credit Services,USA
258,ALNA,"Allena Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA
259,ALNY,"Alnylam Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA
260,ALOT,"AstroNova, Inc.",Technology,Computer Hardware,USA
261,ALPN,"Alpine Immune Sciences, Inc.",Healthcare,Biotechnology,USA
262,ALRM,"Alarm.com Holdings, Inc.",Technology,Software - Application,USA
263,ALRN,"Aileron Therapeutics, Inc.",Healthcare,Biotechnology,USA
264,ALRS,Alerus Financial Corporation,Financial,Banks - Regional,USA
265,ALSK,"Alaska Communications Systems Group, Inc.",Communication Services,Telecom Services,USA
266,ALSN,"Allison Transmission Holdings, Inc.",Consumer Cyclical,Auto Parts,USA
267,ALT,"Altimmune, Inc.",Healthcare,Biotechnology,USA
268,ALTA,Altabancorp,Financial,Banks - Regional,USA
269,ALTG,Alta Equipment Group Inc.,Industrials,Rental & Leasing Services,USA
270,ALTM,Altus Midstream Company,Energy,Oil & Gas Midstream,USA
271,ALTO,"Alto Ingredients, Inc.",Basic Materials,Specialty Chemicals,USA
272,ALTR,Altair Engineering Inc.,Technology,Software - Infrastructure,USA
273,ALTU,Altitude Acquisition Corp.,Financial,Shell Companies,USA
274,ALTUU,Altitude Acquisition Corp.,Financial,Shell Companies,USA
275,ALUS,Alussa Energy Acquisition Corp.,Financial,Shell Companies,Cayman Islands
276,ALV,"Autoliv, Inc.",Consumer Cyclical,Auto Parts,Sweden
277,ALVR,"AlloVir, Inc.",Healthcare,Biotechnology,USA
278,ALX,"Alexander's, Inc.",Real Estate,REIT - Retail,USA
279,ALXN,"Alexion Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA
280,ALXO,ALX Oncology Holdings Inc.,Healthcare,Biotechnology,USA
281,ALYA,Alithya Group Inc.,Technology,Information Technology Services,Canada
282,AM,Antero Midstream Corporation,Energy,Oil & Gas Midstream,USA
283,AMAL,Amalgamated Financial Corp.,Financial,Banks - Regional,USA
284,AMAO,American Acquisition Opportunity Inc.,Financial,Shell Companies,USA
285,AMAOU,American Acquisition Opportunity Inc.,Financial,Shell Companies,USA
286,AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment & Materials,USA
287,AMBA,"Ambarella, Inc.",Technology,Semiconductor Equipment & Materials,USA
288,AMBC,"Ambac Financial Group, Inc.",Financial,Insurance - Specialty,USA
289,AMBO,Ambow Education Holding Ltd.,Consumer Defensive,Education & Training Services,China
290,AMC,"AMC Entertainment Holdings, Inc.",Communication Services,Entertainment,USA
291,AMCR,Amcor plc,Consumer Cyclical,Packaging & Containers,Switzerland
292,AMCX,AMC Networks Inc.,Communication Services,Broadcasting,USA
293,AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors,USA
294,AME,"AMETEK, Inc.",Industrials,Specialty Industrial Machinery,USA
295,AMED,"Amedisys, Inc.",Healthcare,Medical Care Facilities,USA
296,AMEH,"Apollo Medical Holdings, Inc.",Healthcare,Medical Care Facilities,USA
297,AMG,"Affiliated Managers Group, Inc.",Financial,Asset Management,USA
298,AMGN,Amgen Inc.,Healthcare,Drug Manufacturers - General,USA
299,AMH,American Homes 4 Rent,Real Estate,REIT - Residential,USA
300,AMK,"AssetMark Financial Holdings, Inc.",Financial,Asset Management,USA
301,AMKR,"Amkor Technology, Inc.",Technology,Semiconductors,USA
302,AMN,"AMN Healthcare Services, Inc.",Healthcare,Medical Care Facilities,USA
303,AMNB,American National Bankshares Inc.,Financial,Banks - Regional,USA
304,AMOT,Allied Motion Technologies Inc.,Technology,Electronic Components,USA
305,AMP,"Ameriprise Financial, Inc.",Financial,Asset Management,USA
306,AMPE,"Ampio Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA
307,AMPG,"AmpliTech Group, Inc.",Technology,Communication Equipment,USA
308,AMPH,"Amphastar Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA
309,AMPY,Amplify Energy Corp.,Energy,Oil & Gas E&P,USA
310,AMR,"Alpha Metallurgical Resources, Inc.",Basic Materials,Coking Coal,USA
311,AMRB,American River Bankshares,Financial,Banks - Regional,USA
312,AMRC,"Ameresco, Inc.",Industrials,Engineering & Construction,USA
313,AMRK,"A-Mark Precious Metals, Inc.",Financial,Capital Markets,USA
314,AMRN,Amarin Corporation plc,Healthcare,Biotechnology,Ireland
315,AMRS,"Amyris, Inc.",Basic Materials,Specialty Chemicals,USA
316,AMRX,"Amneal Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA
317,AMS,American Shared Hospital Services,Healthcare,Medical Care Facilities,USA
318,AMSC,American Superconductor Corporation,Industrials,Specialty Industrial Machinery,USA
319,AMSF,"AMERISAFE, Inc.",Financial,Insurance - Specialty,USA
320,AMST,Amesite Inc.,Technology,Software - Application,USA
321,AMSWA,"American Software, Inc.",Technology,Software - Application,USA
322,AMT,American Tower Corporation (REIT),Real Estate,REIT - Specialty,USA
323,AMTB,Amerant Bancorp Inc.,Financial,Banks - Regional,USA
324,AMTI,Applied Molecular Transport Inc.,Healthcare,Biotechnology,USA
325,AMTX,"Aemetis, Inc.",Energy,Oil & Gas Refining & Marketing,USA
326,AMWD,American Woodmark Corporation,Consumer Cyclical,"Furnishings, Fixtures & Appliances",USA
327,AMWL,American Well Corporation,Healthcare,Health Information Services,USA
328,AMX,"America Movil, S.A.B. de C.V.",Communication Services,Telecom Services,Mexico
329,AMYT,Amryt Pharma plc,Healthcare,Drug Manufacturers - Specialty & Generic,Ireland
330,AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,USA
331,AN,"AutoNation, Inc.",Consumer Cyclical,Auto & Truck Dealerships,USA
332,ANAB,"AnaptysBio, Inc.",Healthcare,Biotechnology,USA
333,ANAT,"American National Group, Inc.",Financial,Insurance - Diversified,USA
334,ANDA,Andina Acquisition Corp. III,Financial,Shell Companies,Colombia
335,ANDE,"The Andersons, Inc.",Consumer Defensive,Food Distribution,USA
336,ANET,"Arista Networks, Inc.",Technology,Computer Hardware,USA
337,ANF,Abercrombie & Fitch Co.,Consumer Cyclical,Apparel Retail,USA
338,ANGI,Angi Inc.,Communication Services,Internet Content & Information,USA
339,ANGN,Angion Biomedica Corp.,Healthcare,Biotechnology,USA
340,ANGO,"AngioDynamics, Inc.",Healthcare,Medical Instruments & Supplies,USA
341,ANIK,"Anika Therapeutics, Inc.",Healthcare,Biotechnology,USA
342,ANIP,"ANI Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA
343,ANIX,"Anixa Biosciences, Inc.",Healthcare,Diagnostics & Research,USA
344,ANNX,"Annexon, Inc.",Healthcare,Biotechnology,USA
345,ANPC,"AnPac Bio-Medical Science Co., Ltd.",Healthcare,Biotechnology,China
346,ANSS,"ANSYS, Inc.",Technology,Software - Application,USA
347,ANTE,AirNet Technology Inc.,Communication Services,Advertising Agencies,China
348,ANTM,"Anthem, Inc.",Healthcare,Healthcare Plans,USA
349,ANVS,"Annovis Bio, Inc.",Healthcare,Biotechnology,USA
350,ANY,Sphere 3D Corp.,Technology,Software - Application,Canada
351,ANZUU,Anzu Special Acquisition Corp I,Financial,Shell Companies,USA
352,AOD,Aberdeen Total Dynamic Dividend Fund,Financial,Closed-End Fund - Foreign,USA
353,AON,Aon plc,Financial,Insurance Brokers,Ireland
354,AONE,one,Financial,Shell Companies,USA
355,AOS,A. O. Smith Corporation,Industrials,Specialty Industrial Machinery,USA
356,AOSL,Alpha and Omega Semiconductor Limited,Technology,Semiconductors,USA
357,AOUT,"American Outdoor Brands, Inc.",Consumer Cyclical,Leisure,USA
358,AP,Ampco-Pittsburgh Corporation,Industrials,Metal Fabrication,USA
359,APA,APA Corporation,Energy,Oil & Gas E&P,USA
360,APAM,Artisan Partners Asset Management Inc.,Financial,Asset Management,USA
361,APD,"Air Products and Chemicals, Inc.",Basic Materials,Chemicals,USA
362,APDN,"Applied DNA Sciences, Inc.",Industrials,Security & Protection Services,USA
363,APEI,"American Public Education, Inc.",Consumer Defensive,Education & Training Services,USA
364,APEN,"Apollo Endosurgery, Inc.",Healthcare,Medical Devices,USA
365,APG,APi Group Corporation,Industrials,Engineering & Construction,USA
366,APGB,Apollo Strategic Growth Capital II,Financial,Shell Companies,USA
