,Ticker,Company,Sector,Industry,Country
0,A,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,USA
1,AA,Alcoa Corporation,Basic Materials,Aluminum,USA
2,AAC,Ares Acquisition Corporation,Financial,Shell Companies,USA
3,AACG,ATA Creativity Global,Consumer Defensive,Education & Training Services,China
4,AACQ,Artius Acquisition Inc.,Financial,Shell Companies,USA
5,AAIC,Arlington Asset Investment Corp.,Real Estate,REIT - Mortgage,USA
6,AAL,American Airlines Group Inc.,Industrials,Airlines,USA
7,AAMC,Altisource Asset Management Corporation,Financial,Asset Management,USA
8,AAME,Atlantic American Corporation,Financial,Insurance - Life,USA
9,AAN,"The Aaron's Company, Inc.",Industrials,Rental & Leasing Services,USA
10,AAOI,"Applied Optoelectronics, Inc.",Technology,Semiconductors,USA
11,AAON,"AAON, Inc.",Industrials,Building Products & Equipment,USA
12,AAP,"Advance Auto Parts, Inc.",Consumer Cyclical,Specialty Retail,USA
13,AAPL,Apple Inc.,Technology,Consumer Electronics,USA
14,AAQC,Accelerate Acquisition Corp.,Financial,Shell Companies,USA
15,AAT,"American Assets Trust, Inc.",Real Estate,REIT - Diversified,USA
16,AAU,Almaden Minerals Ltd.,Basic Materials,Gold,Canada
17,AAWW,"Atlas Air Worldwide Holdings, Inc.",Industrials,Airports & Air Services,USA
18,AB,AllianceBernstein Holding L.P.,Financial,Asset Management,USA
19,ABB,ABB Ltd,Industrials,Specialty Industrial Machinery,Switzerland
20,ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,USA
21,ABC,AmerisourceBergen Corporation,Healthcare,Medical Distribution,USA
22,ABCB,Ameris Bancorp,Financial,Banks - Regional,USA
23,ABCL,AbCellera Biologics Inc.,Healthcare,Biotechnology,Canada
24,ABCM,Abcam plc,Healthcare,Biotechnology,United Kingdom
25,ABEO,Abeona Therapeutics Inc.,Healthcare,Biotechnology,USA
26,ABEV,Ambev S.A.,Consumer Defensive,Beverages - Brewers,Brazil
27,ABG,"Asbury Automotive Group, Inc.",Consumer Cyclical,Auto & Truck Dealerships,USA
28,ABGI,ABG Acquisition Corp. I,Financial,Shell Companies,USA
29,ABIO,"ARCA biopharma, Inc.",Healthcare,Biotechnology,USA
30,ABM,ABM Industries Incorporated,Industrials,Specialty Business Services,USA
31,ABMD,"Abiomed, Inc.",Healthcare,Medical Devices,USA
32,ABNB,"Airbnb, Inc.",Communication Services,Internet Content & Information,USA
33,ABR,"Arbor Realty Trust, Inc.",Real Estate,REIT - Mortgage,USA
34,ABST,Absolute Software Corporation,Technology,Software - Application,Canada
35,ABT,Abbott Laboratories,Healthcare,Medical Devices,USA
36,ABTX,"Allegiance Bancshares, Inc.",Financial,Banks - Regional,USA
37,ABUS,Arbutus Biopharma Corporation,Healthcare,Biotechnology,USA
38,AC,"Associated Capital Group, Inc.",Financial,Capital Markets,USA
39,ACA,"Arcosa, Inc.",Industrials,Infrastructure Operations,USA
40,ACACU,Acies Acquisition Corp.,Financial,Shell Companies,USA
41,ACAD,ACADIA Pharmaceuticals Inc.,Healthcare,Biotechnology,USA
42,ACAHU,Atlantic Coastal Acquisition Corp.,Financial,Shell Companies,USA
43,ACB,Aurora Cannabis Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,Canada
44,ACBAU,Ace Global Business Acquisition Limited,Financial,Shell Companies,Hong Kong
